FIPS_Combined,state,county,slope_reports_per_year,observed_2017_reports,forecast_2020_reports,forecast_threshold,in_sample_mae,in_sample_r2
21125,KY,LAUREL,-18.785714,184.0,79.14,watch,53.9464,0.3711
51003,VA,ALBEMARLE,7.095238,53.0,78.37,watch,7.1994,0.8109
54003,WV,BERKELEY,-14.940476,116.0,77.76,watch,48.2411,0.2933
42037,PA,COLUMBIA,1.809524,36.0,76.51,watch,18.1429,0.0253
21049,KY,CLARK,-8.02381,89.0,75.35,watch,19.2321,0.3325
51073,VA,GLOUCESTER,4.642857,59.0,74.43,watch,8.6786,0.5059
42099,PA,PERRY,1.702381,46.0,73.94,watch,17.5506,0.0384
21231,KY,WAYNE,2.952381,99.0,73.94,watch,19.0,0.0808
51163,VA,ROCKBRIDGE,5.642857,51.0,73.68,watch,4.1429,0.8595
39083,OH,KNOX,4.345238,57.0,73.62,watch,15.4851,0.1992
39031,OH,COSHOCTON,5.464286,66.0,72.89,watch,9.6696,0.5882
51195,VA,WISE,-29.880952,135.0,72.77,watch,49.25,0.6034
51125,VA,NELSON,8.428571,91.0,71.79,watch,17.1786,0.4585
39129,OH,PICKAWAY,-16.654762,100.0,71.37,watch,40.375,0.3965
42077,PA,LEHIGH,-32.416667,209.0,71.17,watch,44.1042,0.6899
39131,OH,PIKE,0.380952,59.0,69.48,watch,15.9881,0.0016
39111,OH,MONROE,6.166667,48.0,68.83,watch,8.5417,0.5307
39011,OH,AUGLAIZE,1.22619,62.0,67.6,watch,12.6875,0.0281
21093,KY,HARDIN,-2.583333,75.0,67.58,watch,17.2083,0.0779
51099,VA,KING GEORGE,3.285714,80.0,67.36,watch,11.3214,0.2337
42109,PA,SNYDER,5.904762,67.0,66.88,watch,10.9762,0.4779
51023,VA,BOTETOURT,-0.083333,56.0,66.58,watch,12.8542,0.0002
54055,WV,MERCER,-30.642857,70.0,66.57,watch,55.4107,0.5482
21203,KY,ROCKCASTLE,-4.428571,54.0,65.96,watch,31.6339,0.0756
51093,VA,ISLE OF WIGHT,5.559524,39.0,65.76,watch,9.8452,0.5901
21193,KY,PERRY,-29.988095,131.0,65.2,watch,66.4107,0.4451
39117,OH,MORROW,0.464286,63.0,65.14,watch,10.3571,0.0075
42087,PA,MIFFLIN,4.285714,68.0,64.86,watch,8.0357,0.5387
51145,VA,POWHATAN,4.833333,61.0,64.42,watch,10.1458,0.474
42015,PA,BRADFORD,-1.97619,35.0,64.4,watch,17.744,0.0478
39159,OH,UNION,-1.964286,89.0,63.86,watch,25.3571,0.0256
39127,OH,PERRY,-1.952381,46.0,63.56,watch,27.5238,0.0223
51083,VA,HALIFAX,2.25,86.0,63.0,watch,13.6875,0.0855
51095,VA,JAMES CITY,4.785714,78.0,61.61,watch,13.1161,0.3526
21159,KY,MARTIN,2.130952,68.0,60.73,watch,22.5446,0.0319
51191,VA,WASHINGTON,-6.440476,98.0,60.01,watch,10.7054,0.5284
42035,PA,CLINTON,3.833333,15.0,58.42,watch,15.6667,0.1776
21195,KY,PIKE,-18.261905,85.0,58.3,watch,22.1845,0.7116
21155,KY,MARION,3.833333,53.0,57.67,watch,5.7917,0.5937
51143,VA,PITTSYLVANIA,3.25,42.0,57.5,watch,7.625,0.3619
51133,VA,NORTHUMBERLAND,5.904762,15.0,55.88,watch,13.2024,0.3715
42047,PA,ELK,4.27381,50.0,54.65,watch,6.125,0.6356
42131,PA,WYOMING,1.571429,29.0,53.96,watch,12.3839,0.0476
39051,OH,FULTON,2.952381,46.0,53.94,watch,6.0357,0.4279
21019,KY,BOYD,-27.595238,158.0,53.88,watch,26.1964,0.8216
21065,KY,ESTILL,2.857143,50.0,53.57,watch,17.6786,0.103
51035,VA,CARROLL,0.083333,37.0,53.17,watch,10.3333,0.0002
51139,VA,PAGE,-1.75,61.0,52.0,watch,12.1875,0.0585
21145,KY,MCCRACKEN,-1.654762,53.0,51.37,watch,13.5357,0.0601
51109,VA,LOUISA,1.035714,46.0,50.86,watch,10.0268,0.0347
54011,WV,CABELL,-25.52381,104.0,50.6,watch,68.6845,0.3105
51031,VA,CAMPBELL,2.095238,37.0,49.87,watch,11.7262,0.1196
21177,KY,MUHLENBERG,-0.452381,29.0,49.56,watch,15.0446,0.0033
51141,VA,PATRICK,0.72619,29.0,48.1,watch,11.9911,0.0105
51167,VA,RUSSELL,-9.404762,87.0,46.37,watch,10.2024,0.7871
39161,OH,VAN WERT,-2.238095,68.0,46.2,watch,10.8542,0.117
39107,OH,MERCER,-5.535714,52.0,46.14,watch,22.4911,0.2121
51550,VA,CHESAPEAKE CITY,-7.706667,79.0,45.57,watch,65.3822,0.0539
21101,KY,HENDERSON,3.928571,18.0,44.04,watch,7.2143,0.4501
21135,KY,LEWIS,0.761905,60.0,43.7,watch,9.9405,0.018
